33004,31564,32461,32853,33122,32914,36240,29960,34836,32192,36354,29744,29709,29180,35344,28008,31260,26293,31740
33292,31871,32839,32751,33518,32914,36240,29960,34836,32192,36354,29744,29709,29180,35344,28008,31260,26293,31740
33014,32873,32477,32646,32952,32914,36240,29960,34836,32192,36354,29744,29709,29180,35344,28008,31260,26293,31740
33044,33813,32834,32582,32974,32914,36240,29960,34836,32192,36354,29744,29709,29180,35344,28008,31260,26293,31740
33021,33598,32485,32751,31323,32914,36240,29960,34836,32192,36354,29744,29709,29180,35344,28008,31260,26293,31740
32996,33995,32742,32875,31802,32914,36240,29960,34836,32192,36354,29744,29709,29180,35344,28008,31260,26293,31740
32846,34333,32429,32877,33351,32914,36240,29960,34836,32192,36354,29744,29709,29180,35344,28008,31260,26293,31740
32894,33885,32733,32791,33139,32914,36240,29960,34836,32192,36354,29744,29709,29180,35344,28008,31260,26293,31740
32858,33211,32375,32749,33275,32914,36240,29960,34836,32192,36354,29744,29709,29180,35344,28008,31260,26293,31740
32818,32768,32752,32791,33143,32914,36240,29960,34836,32192,36354,29744,29709,29180,35344,28008,31260,26293,31740
32855,32631,32404,32770,32957,32890,36144,29908,34936,32344,36196,29558,29664,30220,32140,28696,34110,28273,31597
32804,32733,32742,32767,32287,32890,36144,29908,34936,32344,36196,29558,29664,30220,32140,28696,34110,28273,31597
32719,32591,32561,32755,32107,32890,36144,29908,34936,32344,36196,29558,29664,30220,32140,28696,34110,28273,31597
32713,32742,32748,32798,32191,32890,36144,29908,34936,32344,36196,29558,29664,30220,32140,28696,34110,28273,31597
32845,32839,32775,32837,32351,32890,36144,29908,34936,32344,36196,29558,29664,30220,32140,28696,34110,28273,31597
32902,32685,32591,32823,32897,32890,36144,29908,34936,32344,36196,29558,29664,30220,32140,28696,34110,28273,31597
32780,32495,32855,32733,32521,32890,36144,29908,34936,32344,36196,29558,29664,30220,32140,28696,34110,28273,31597
32884,32535,32564,32733,32763,32890,36144,29908,34936,32344,36196,29558,29664,30220,32140,28696,34110,28273,31597
32898,32323,32823,32806,32007,32890,36144,29908,34936,32344,36196,29558,29664,30220,32140,28696,34110,28273,31597
33238,32599,32511,32798,33014,32890,36144,29908,34936,32344,36196,29558,29664,30220,32140,28696,34110,28273,31597
32957,32846,32835,32801,33326,32668,36112,29853,34832,32172,36236,29536,29602,30816,30965,29188,33198,26809,31044
32969,32441,32911,32791,33315,32668,36112,29853,34832,32172,36236,29536,29602,30816,30965,29188,33198,26809,31044
32992,32739,32615,32789,33050,32668,36112,29853,34832,32172,36236,29536,29602,30816,30965,29188,33198,26809,31044
33060,32805,32703,32775,32506,32668,36112,29853,34832,32172,36236,29536,29602,30816,30965,29188,33198,26809,31044
33386,32867,32861,32731,33195,32668,36112,29853,34832,32172,36236,29536,29602,30816,30965,29188,33198,26809,31044
33029,32621,32581,32772,32883,32668,36112,29853,34832,32172,36236,29536,29602,30816,30965,29188,33198,26809,31044
33010,32487,32813,32733,32693,32668,36112,29853,34832,32172,36236,29536,29602,30816,30965,29188,33198,26809,31044
32953,32589,32583,32723,33003,32668,36112,29853,34832,32172,36236,29536,29602,30816,30965,29188,33198,26809,31044
32927,32835,32839,32723,32105,32668,36112,29853,34832,32172,36236,29536,29602,30816,30965,29188,33198,26809,31044
32783,32629,32665,32687,32459,32668,36112,29853,34832,32172,36236,29536,29602,30816,30965,29188,33198,26809,31044
32765,32339,32539,32765,32848,32477,36064,29780,34772,31924,36082,29506,29605,30897,30108,29440,30737,27808,30964
32786,32169,32819,32811,32989,32477,36064,29780,34772,31924,36082,29506,29605,30897,30108,29440,30737,27808,30964
32644,32101,32445,32893,33047,32477,36064,29780,34772,31924,36082,29506,29605,30897,30108,29440,30737,27808,30964
32768,32255,32751,32845,32551,32477,36064,29780,34772,31924,36082,29506,29605,30897,30108,29440,30737,27808,30964
32770,32485,32527,32745,32562,32477,36064,29780,34772,31924,36082,29506,29605,30897,30108,29440,30737,27808,30964
32746,33063,32705,32755,32089,32477,36064,29780,34772,31924,36082,29506,29605,30897,30108,29440,30737,27808,30964
32642,33287,32870,32811,32355,32477,36064,29780,34772,31924,36082,29506,29605,30897,30108,29440,30737,27808,30964
32591,33060,32555,32678,32389,32477,36064,29780,34772,31924,36082,29506,29605,30897,30108,29440,30737,27808,30964
32634,32955,32711,32679,32840,32477,36064,29780,34772,31924,36082,29506,29605,30897,30108,29440,30737,27808,30964
32714,32956,32439,32655,33090,32477,36064,29780,34772,31924,36082,29506,29605,30897,30108,29440,30737,27808,30964
32562,32703,32861,32751,32951,32248,36156,29844,34978,31646,35936,29450,29564,30422,30348,29832,33604,27244,31744
